X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.283444037186919E-5,4.434921279454644,0.05541504704621725
2.0,2.0,train,8.453063243989781E-6,1.518702532779271,0.020883218688988348
3.0,3.0,train,9.973506152851392E-4,85.84933281312927,0.9170931347710923
4.0,4.0,train,5.374337823070286E-4,44.468669668325596,0.7386213421474739
5.0,5.0,train,1.2352130264348497E-5,2.343299416199487,0.030368300391283132
6.0,6.0,train,1.6131474374129708E-5,3.1235968474114415,0.03947443207369228
7.0,7.0,train,2.507316994802824E-5,4.863675757283895,0.06067991555876162
8.0,8.0,train,9.706838305970677E-5,11.793071537736424,0.21521538336521018
9.0,9.0,train,4.4818889962310976E-4,35.039316077235064,0.673384523208989
10.0,10.0,train,0.0011443796637832387,93.24643516595661,0.9425659401621438
11.0,11.0,train,4.883125478693297E-4,39.252323619344786,0.7045177461369864
12.0,12.0,train,2.991012207712806E-4,23.947451832502864,0.5260965455382559
13.0,13.0,train,4.632245248514379E-4,36.59026193482315,0.6854179780531497
14.0,14.0,train,3.6023919635680933E-4,27.755224961073594,0.5931830339414389
15.0,15.0,train,9.463628038561583E-4,82.58433293010998,0.9058380009203599
16.0,16.0,train,7.088064376280536E-4,63.804006547812506,0.8296061929890173
17.0,17.0,train,8.804691732212608E-4,77.52672745360157,0.8890000048066174
18.0,18.0,train,6.18492332800311E-5,9.484322220290483,0.14308454015872685
19.0,19.0,train,4.6571858237016777E-4,36.91365342837154,0.6873707294025753
20.0,20.0,train,0.0014911841060227648,99.02296073761575,0.9758378465853796
21.0,21.0,train,9.702513563406528E-6,1.7680479333961217,0.023932758418225286
22.0,22.0,train,1.1422495131160064E-5,2.131123054626119,0.028115195367407475
23.0,23.0,train,2.8270699914066516E-5,5.4340434189825135,0.0681487680795243
24.0,24.0,train,8.171444731962745E-6,1.457682866690042,0.020194556258525176
25.0,25.0,train,4.100224983638085E-4,31.74990623765214,0.6407308643847112
26.0,26.0,train,0.001215479412557163,96.36960076506578,0.951907503143177
27.0,27.0,train,7.810107305312996E-6,1.3706603217223117,0.019310241817077523
28.0,28.0,train,1.7426034952818458E-4,16.950688916714498,0.3527789893965526
29.0,29.0,train,0.001101452789925255,90.95187124037118,0.9360685785042918
30.0,30.0,train,5.945149503253895E-4,50.347860633144506,0.7733383583438158
31.0,31.0,train,8.631871217419395E-4,75.84538398344296,0.8841058324015494
32.0,32.0,train,7.414204061780808E-5,10.328223867055675,0.1689845347444422
33.0,33.0,train,5.148317545227489E-4,41.9505760520961,0.7234478114570071
34.0,34.0,train,2.712346885847617E-4,22.177030215851232,0.4919516340270702
35.0,35.0,train,2.194897688878317E-4,19.506996745279913,0.4218891057522425
36.0,36.0,train,1.8758417408517268E-5,3.5977046297457793,0.045753485826475426
37.0,37.0,train,4.0217675548589343E-4,30.737114455007255,0.6336240915345851
38.0,38.0,train,4.7091947599037714E-4,37.5284357968901,0.6914039228452098
39.0,39.0,train,1.8787562022466454E-4,17.714367890705958,0.37440998009164583
40.0,40.0,train,6.395085794848383E-4,55.312681739732064,0.797422018563629
41.0,41.0,train,4.9095903207508564E-5,8.424819716825187,0.1153607859761655
42.0,42.0,train,3.144514209941769E-4,24.65593952960937,0.5439148564872716
43.0,43.0,train,1.1498611523110882E-4,13.015717483335017,0.24954854563841222
44.0,44.0,train,7.770100559456909E-6,1.359484169413763,0.019212282766321476
45.0,45.0,train,7.653261312453767E-4,67.33695202195572,0.8520310781999415
46.0,46.0,train,5.150641884540861E-4,41.97792612587058,0.7236082499718341
47.0,47.0,train,5.286711389396822E-4,43.374392273874676,0.732840081878553
48.0,48.0,train,6.883309440941675E-5,10.01034100385986,0.15789644277390535
49.0,49.0,train,0.001110945071736269,91.40579634498303,0.9375658722233214
50.0,50.0,train,8.435111729384504E-4,74.50315128258578,0.8782704935099536
51.0,51.0,train,3.677756516382708E-4,28.22507766945721,0.6007660989480696
52.0,52.0,train,2.2938381770152457E-4,20.018509618485158,0.43599466420333755
53.0,53.0,train,1.2380704239672E-4,13.679597305261291,0.26589491998639314
54.0,54.0,train,2.2982060178447496E-5,4.461835582617942,0.055763114677848113
55.0,55.0,train,2.469234434909401E-4,20.844583877147514,0.46015969177969085
56.0,56.0,train,8.093185807907466E-4,70.83165569915143,0.8674223612307713
