Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.53717E-4,15.50975192,0.318716671,0.151034151,0.108860759,0
1.55754E-4,15.757245006,0.322173752,0.149494949,0.108860759,0
1.59269E-4,16.010206952,0.328095343,0.147955748,0.108860759,0
1.62965E-4,16.252270637,0.334267994,0.146512747,0.108860759,0
1.67037E-4,16.500647633,0.341000265,0.145069745,0.108860759,0
1.71044E-4,16.754355621,0.347560164,0.143626744,0.113924051,0
1.75308E-4,17.014639886,0.354469286,0.142183742,0.116455696,0
1.78373E-4,17.261757476,0.359391152,0.140836941,0.116455696,0
1.84514E-4,17.516159999,0.369137546,0.139490139,0.118987342,0
1.8863E-4,17.75884764,0.375587176,0.138239538,0.121518987,0
1.91022E-4,18.0060247,0.37930423,0.136988937,0.124050633,0
1.97521E-4,18.258916199,0.389295552,0.135738336,0.129113924,0
2.04794E-4,18.500770038,0.400284106,0.134583935,0.129113924,0
2.07769E-4,18.769197527,0.404721568,0.133333333,0.13164557,0
2.1169E-4,19.021100256,0.410521488,0.132178932,0.134177215,0
2.15544E-4,19.255729727,0.416165591,0.131120731,0.134177215,0
2.1965E-4,19.517200281,0.422119677,0.12996633,0.139240506,0
2.25846E-4,19.762716008,0.430990661,0.128908129,0.139240506,0
2.29217E-4,20.012717067,0.435759255,0.127849928,0.139240506,0
2.36577E-4,20.268284543,0.446032958,0.126791727,0.144303797,0
2.41775E-4,20.507794288,0.453176497,0.125829726,0.149367089,0
2.45519E-4,20.752064073,0.458263256,0.124867725,0.15443038,0
2.49656E-4,21.024595102,0.463829947,0.123809524,0.162025316,0
2.54812E-4,21.251452584,0.470687228,0.122943723,0.164556962,0
2.59522E-4,21.509113704,0.476876266,0.121981722,0.169620253,0
2.63966E-4,21.771238937,0.48264713,0.121019721,0.174683544,0
2.67151E-4,22.010707546,0.486745638,0.12015392,0.174683544,0
2.73123E-4,22.253938381,0.49434094,0.119288119,0.179746835,0
2.76943E-4,22.502057861,0.499140402,0.118422318,0.184810127,0
2.79687E-4,22.752654208,0.502560582,0.117556518,0.189873418,0
2.8361E-4,23.006591806,0.507409167,0.116690717,0.192405063,0
2.86501E-4,23.263372992,0.510951899,0.115824916,0.194936709,0
2.91473E-4,23.523469679,0.516984751,0.114959115,0.197468354,0
2.94322E-4,23.758200837,0.520408329,0.114189514,0.202531646,0
3.01069E-4,24.025373359,0.528419608,0.113323713,0.205063291,0
3.06277E-4,24.267987711,0.534510565,0.112554113,0.205063291,0
3.12918E-4,24.51563309,0.542165868,0.111784512,0.205063291,0
3.15669E-4,24.767346753,0.545299347,0.111014911,0.215189873,0
3.17305E-4,25.020683702,0.547152115,0.11024531,0.217721519,0
3.27601E-4,25.280226923,0.558644777,0.109475709,0.217721519,0
3.29827E-4,25.510612894,0.561091234,0.108802309,0.22278481,0
3.3156E-4,25.775061968,0.562985537,0.108032708,0.22278481,0
3.32875E-4,26.007501003,0.564418213,0.107359307,0.22278481,0
3.39413E-4,26.277835135,0.571470256,0.106589707,0.225316456,0
3.4249E-4,26.516351905,0.574749761,0.105916306,0.227848101,0
3.43768E-4,26.75655879,0.576105087,0.105242905,0.230379747,0
3.49201E-4,27.033091264,0.581816021,0.104473304,0.230379747,0
3.54018E-4,27.279385945,0.586815079,0.103799904,0.230379747,0
3.55377E-4,27.52769948,0.588214448,0.103126503,0.232911392,0
3.60744E-4,27.778847144,0.593695167,0.102453102,0.235443038,0
3.63335E-4,28.032271772,0.596314829,0.101779702,0.235443038,0
3.68404E-4,28.252359537,0.601391672,0.101202501,0.240506329,0
3.72148E-4,28.511469304,0.605101004,0.100529101,0.243037975,0
3.76313E-4,28.773666413,0.609185239,0.0998557,0.248101266,0
3.80386E-4,29.000541665,0.613139509,0.099278499,0.250632911,0
3.82215E-4,29.267748251,0.614902514,0.098605099,0.258227848,0
3.88528E-4,29.537648405,0.620924102,0.097931698,0.260759494,0
3.90467E-4,29.771218597,0.622754454,0.097354497,0.260759494,0
3.92747E-4,30.006287537,0.624895931,0.096777297,0.263291139,0
3.96128E-4,30.282245519,0.628049663,0.096103896,0.26835443,0
3.99435E-4,30.521154745,0.631107264,0.095526696,0.273417722,0
4.02493E-4,30.76202407,0.633913542,0.094949495,0.275949367,0
4.04872E-4,31.004427568,0.636080923,0.094372294,0.278481013,0
4.07324E-4,31.28861071,0.638302246,0.093698894,0.281012658,0
4.091E-4,31.533619008,0.639902091,0.093121693,0.281012658,0
4.10148E-4,31.779331115,0.640843858,0.092544493,0.286075949,0
4.12729E-4,32.026756095,0.643150664,0.091967292,0.288607595,0
4.16113E-4,32.275657895,0.646152348,0.091390091,0.293670886,0
4.16777E-4,32.525628999,0.646738852,0.090812891,0.293670886,0
4.2115E-4,32.777813542,0.65057482,0.09023569,0.293670886,0
4.23857E-4,33.031409628,0.652928185,0.08965849,0.298734177,0
4.28596E-4,33.287750068,0.657010121,0.089081289,0.303797468,0
4.3157E-4,33.502949527,0.659547507,0.088600289,0.306329114,0
4.33106E-4,33.762434716,0.660851022,0.088023088,0.308860759,0
4.37893E-4,34.023930787,0.664879985,0.087445887,0.311392405,0
4.39346E-4,34.287003847,0.66609375,0.086868687,0.311392405,0
4.41338E-4,34.507191421,0.667750012,0.086387686,0.313924051,0
4.44147E-4,34.773041106,0.670071915,0.085810486,0.318987342,0
4.4821E-4,35.040706142,0.673401746,0.085233285,0.321518987,0
4.50963E-4,35.26562238,0.675638611,0.084752285,0.321518987,0
4.5496E-4,35.537781974,0.678859382,0.084175084,0.33164557,0
4.56551E-4,35.765724045,0.680132424,0.083694084,0.334177215,0
4.58447E-4,36.040389322,0.681643139,0.083116883,0.339240506,0
4.60234E-4,36.270281076,0.683060151,0.082635883,0.339240506,0
4.62824E-4,36.50127183,0.685103048,0.082154882,0.341772152,0
4.64076E-4,36.779445858,0.686085651,0.081577682,0.349367089,0
4.66928E-4,37.012469174,0.688313263,0.081096681,0.35443038,0
4.6923E-4,37.293367251,0.690099886,0.080519481,0.356962025,0
4.70919E-4,37.528382986,0.691403923,0.08003848,0.359493671,0
4.73047E-4,37.764483503,0.693039022,0.07955748,0.362025316,0
4.74438E-4,38.001527344,0.694102654,0.079076479,0.362025316,0
4.77961E-4,38.287304807,0.696782049,0.078499278,0.364556962,0
4.79123E-4,38.526559059,0.697659827,0.078018278,0.364556962,0
4.82629E-4,38.766982358,0.700294887,0.077537278,0.369620253,0
4.85137E-4,39.008897933,0.702165479,0.077056277,0.372151899,0
4.88313E-4,39.252358278,0.704517746,0.076575277,0.37721519,0
4.897E-4,39.545846081,0.705539767,0.075998076,0.382278481,0
4.92195E-4,39.791453774,0.707368051,0.075517076,0.382278481,0
4.95901E-4,40.038942161,0.71006288,0.075036075,0.384810127,0
4.98353E-4,40.287577213,0.711832954,0.074555075,0.387341772,0
5.00618E-4,40.537551036,0.713457646,0.074074074,0.387341772,0
5.01505E-4,40.788085373,0.714091229,0.073593074,0.389873418,0
5.07168E-4,41.040625324,0.718105555,0.073112073,0.389873418,0
5.09012E-4,41.294574849,0.719400184,0.072631073,0.389873418,0
5.11188E-4,41.549613307,0.720920616,0.072150072,0.389873418,0
5.13166E-4,41.754569777,0.722295267,0.071765272,0.389873418,0
